Model,MLI,SD,AG,MSE,PSNR,EN,MI,NCIE,SCD,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge,QABF_fast,QABF,LABF,NABF,NABF1,SF,SSIM,MS_SSIM,Q,Qw,Qe,VIF,VIFF,CC,Qp
APGFusion,65.493737,80.606306,9.265437,0.041647,14.338886,4.652503,3.019957,0.806887,1.428134,0.688805,0.320105,0.461115,0.869631,0.630365,0.873922,0.103320,0.022758,0.185893,39.026417,0.684092,0.918076,0.842146,0.764863,0.608409,0.501305,0.407955,0.791298,0.378694
ATDFusion,61.657093,77.440249,7.368823,0.039310,14.724630,4.826664,2.970811,0.806711,1.303654,0.662851,0.357010,0.348462,0.870867,0.526616,0.783162,0.201363,0.015475,0.113184,30.450754,0.605711,0.923304,0.831300,0.743244,0.563815,0.499118,0.408163,0.780509,0.364195
CDDFuse,65.715962,80.773907,8.755505,0.041317,14.404872,4.686877,3.094769,0.807142,1.457939,0.692106,0.334961,0.423571,0.867396,0.614096,0.853085,0.128203,0.018713,0.160730,36.609177,0.684010,0.921178,0.844903,0.764217,0.575552,0.525600,0.414124,0.794573,0.377483
CMMDL,73.225794,85.093897,9.215803,0.047484,13.759388,5.129031,2.753935,0.806149,1.597957,0.528314,0.304011,0.300918,0.868480,0.607768,0.866593,0.113573,0.019834,0.166478,37.845620,0.264743,0.908774,0.778016,0.752380,0.599751,0.451687,0.408674,0.803827,0.352475
DATFuse,76.353381,69.765584,6.967750,0.042824,13.826602,5.159657,3.131748,0.807205,1.176225,0.528929,0.175585,0.264153,0.858206,0.459661,0.648361,0.342010,0.009629,0.068776,32.130235,0.215078,0.835473,0.342266,0.555114,0.245519,0.386451,0.310895,0.792067,0.273242
DRMF,66.159695,77.583926,7.254345,0.046539,14.027898,4.870310,3.494370,0.808714,1.316784,0.637866,0.318980,0.405624,0.861743,0.559113,0.698492,0.297841,0.003667,0.026889,30.572118,0.254336,0.853698,0.595351,0.641560,0.398158,0.627155,0.328148,0.758609,0.415330
DeDNet,51.867760,31.854407,3.276073,0.042710,14.188288,5.536015,2.129668,0.804766,-0.101455,0.110452,0.140954,0.131877,0.836841,0.104742,0.203723,0.793686,0.002591,0.012446,11.464700,0.077845,0.546942,0.206319,0.296553,0.019474,0.185987,0.100790,0.772743,0.098973
Diff-IF,69.138762,84.896943,9.059513,0.048821,13.904231,4.459423,3.140298,0.807235,1.425382,0.694209,0.293158,0.456837,0.874116,0.604811,0.859228,0.114189,0.026582,0.204848,37.873622,0.663699,0.890693,0.810145,0.712532,0.629608,0.534821,0.405015,0.776979,0.368872
FRAC-HCM,50.269372,61.028304,5.031794,0.031057,15.281136,3.848168,3.844271,0.809654,0.861875,0.719280,0.276690,0.464710,0.869160,0.463906,0.639053,0.357734,0.003214,0.011106,22.153963,0.635460,0.840251,0.769595,0.602724,0.304448,0.487505,0.315730,0.785994,0.281071
GeSeNet,69.444538,81.928741,8.758112,0.044240,14.309661,5.202986,3.000892,0.806823,1.466048,0.593866,0.316210,0.348694,0.871584,0.629040,0.847012,0.136334,0.016653,0.139511,35.775575,0.250929,0.916553,0.657667,0.758183,0.592198,0.507472,0.408220,0.790563,0.382700
IGNet,45.400052,51.780798,5.844207,0.032379,15.043425,6.125804,2.388390,0.805292,0.594249,0.368428,0.203842,0.192795,0.850453,0.379460,0.612245,0.383190,0.004565,0.022817,18.834345,0.293403,0.848898,0.565742,0.551770,0.211653,0.355702,0.305466,0.785721,0.267462
LKC-FUNet,78.367264,87.865595,7.274510,0.054653,13.204922,5.978131,2.833792,0.806362,1.603374,0.423019,0.309794,0.258906,0.864672,0.546606,0.773119,0.212533,0.014348,0.105176,26.644064,0.253287,0.915060,0.563784,0.712649,0.502857,0.493228,0.437500,0.797709,0.390383
LRFNet,55.785273,66.849185,6.921875,0.036987,16.291441,4.566347,3.214370,0.807712,1.416740,0.718346,0.390053,0.440263,0.861289,0.497520,0.623984,0.365402,0.010614,0.150023,23.819626,0.667199,0.762741,0.793508,0.476794,0.146730,0.552449,0.188176,0.800396,0.498598
LWNet,63.542708,76.345248,7.116868,0.036027,14.939366,4.777770,3.132646,0.807212,1.421962,0.689150,0.349963,0.443106,0.870751,0.570072,0.790541,0.204904,0.004555,0.028753,28.525230,0.676153,0.923469,0.841197,0.743743,0.521139,0.531115,0.406928,0.803899,0.388806
MDHU-fusion,73.127533,49.109867,5.857568,0.036673,14.399044,4.408333,3.634565,0.809061,0.654913,0.707531,0.343980,0.468780,0.853975,0.493746,0.721124,0.278195,0.000680,0.002676,24.663980,0.198275,0.872860,0.374587,0.660890,0.373350,0.507856,0.302538,0.791610,0.383949
MMIF-DDFM,52.738893,60.686686,4.908588,0.025838,15.967055,4.406081,3.481820,0.808405,1.110524,0.700488,0.425210,0.481880,0.863795,0.371997,0.622068,0.377929,0.000004,0.000009,19.875043,0.656101,0.852950,0.795645,0.606226,0.283507,0.410466,0.338876,0.830571,0.296382
MMIF-INet,70.833642,86.783878,7.634432,0.048030,14.739048,4.752173,2.828190,0.806347,1.661631,0.616903,0.369271,0.371804,0.873359,0.524252,0.762353,0.215214,0.022433,0.187307,33.361544,0.575169,0.943743,0.822047,0.743920,0.585154,0.492782,0.469351,0.789867,0.337777
PSLPT,46.010062,52.786431,4.893308,0.029025,16.053571,4.730533,2.391865,0.805315,0.850023,0.584473,0.349565,0.293550,0.853994,0.324746,0.517142,0.481989,0.000869,0.004716,17.789443,0.477292,0.790136,0.752100,0.488955,0.145485,0.358687,0.241313,0.826363,0.256939
SD-Fuse,52.896479,64.609005,6.187134,0.034808,15.337840,4.639849,2.846998,0.806463,1.104935,0.709645,0.351359,0.488880,0.863718,0.487553,0.669397,0.327224,0.003378,0.024945,22.887762,0.667558,0.791088,0.803496,0.568032,0.258111,0.465664,0.240228,0.790087,0.367251
SWTSWR,77.827557,43.013153,5.141574,0.044742,13.630957,4.962494,2.610955,0.805790,0.251978,0.603237,0.379750,0.394449,0.875654,0.400293,0.677074,0.321766,0.001160,0.004915,21.443375,0.192781,0.798459,0.343262,0.631208,0.376599,0.383084,0.223018,0.787909,0.345477
SwinFusion,69.436248,85.626012,7.610768,0.047492,14.125963,4.477364,3.117999,0.807141,1.531783,0.688475,0.378858,0.445138,0.878187,0.577153,0.803882,0.184131,0.011987,0.118705,33.394743,0.686574,0.930243,0.843974,0.752669,0.586678,0.561100,0.443127,0.788694,0.389445
TSFI-Fusion,77.562765,85.241186,7.862237,0.051541,13.751747,5.320560,3.117875,0.807156,1.580453,0.531865,0.344466,0.329096,0.873304,0.567831,0.787626,0.196879,0.015495,0.115611,33.665776,0.253125,0.921405,0.437530,0.737141,0.573537,0.517162,0.437157,0.794261,0.349277
UUD-Fusion,71.974070,74.762166,7.165257,0.041482,14.142803,5.534901,2.865983,0.806558,1.578309,0.505945,0.358612,0.284768,0.852041,0.484761,0.673202,0.316608,0.010189,0.121968,25.026554,0.244703,0.823707,0.432415,0.561377,0.203051,0.469269,0.276327,0.821070,0.375202
YDTR,83.353800,59.879915,6.041813,0.046589,13.813991,5.474686,3.068934,0.806987,0.730242,0.397167,0.326683,0.247991,0.874015,0.436753,0.687964,0.309164,0.002872,0.013385,27.878305,0.234715,0.896166,0.363907,0.674647,0.459586,0.443497,0.317938,0.773307,0.336283
